country_name,country_code,indicator_code,indicator_label,respondent_type,value_pct,global_avg_pct,page_number,extraction_note
Australia,AU,employer_ai_high_proportion_tasks,Employers estimate AI will impact high proportion of tasks (50-100%),employer,68.0,68.0,36,
Australia,AU,employer_ai_improves_productivity,Employers feel AI helps improve productivity,employer,60.0,54.0,36,
Australia,AU,employer_autonomy_engagement,"Employers agree greater autonomy leads to higher engagement, productivity and retention",employer,66.0,72.0,36,
Australia,AU,employer_confident_growth,Employers confident of growing next year,employer,100.0,95.0,36,
Australia,AU,employer_generational_diversity_productivity,Employers highlight generational diversity as a productivity lever,employer,98.0,95.0,36,
Australia,AU,employer_remote_collaboration_challenging,Employers say remote/hybrid work has made collaboration more challenging,employer,86.0,81.0,36,
Australia,AU,employer_want_improve_collaboration,Employers want management to spend more time improving team collaboration,employer,43.0,90.0,36,
Australia,AU,talent_ai_benefits_company_more,"Talent believe AI adoption will mainly benefit companies, not them",talent,75.0,47.0,36,
Australia,AU,talent_ai_high_proportion_tasks,Talent agree AI will impact high proportion of tasks (50-100%),talent,,52.0,36,not in RM
Australia,AU,talent_ai_improves_productivity,Talent feel AI helps improve productivity,talent,58.0,62.0,36,
Australia,AU,talent_confident_use_technology,Talent feel confident using latest technology,talent,63.0,69.0,36,
Australia,AU,talent_job_security_retention,Job security as reason for staying in current role,talent,24.0,23.0,36,
Australia,AU,talent_left_lack_independence,Talent left because they weren't given enough independence,talent,22.0,25.0,36,
Australia,AU,talent_manager_best_interests,Talent believe their manager has their best interests in mind,talent,75.0,71.0,36,
Australia,AU,talent_multigenerational_more_productive,Talent believe they are more productive when collaborating across generations,talent,82.0,78.0,36,
Australia,AU,talent_no_hours_flexibility,Talent would not accept a role without working hours flexibility,talent,22.0,43.0,36,
Australia,AU,talent_no_location_flexibility,Talent would not accept a new job without work location flexibility,talent,43.0,43.0,36,
Australia,AU,talent_optimism,Talent share optimism about business outlook,talent,53.0,51.0,36,
Australia,AU,talent_pay_attracts,Pay attracts talent (primary attraction driver),talent,82.0,81.0,36,
Australia,AU,talent_pay_retention_reason,Pay/benefits as reason for staying in current role,talent,20.0,23.0,36,
Australia,AU,talent_quit_personal_life,Talent quit jobs that didn't fit their personal lives,talent,36.0,39.0,36,
Australia,AU,talent_rely_different_generations,Talent rely on people from different generations to broaden perspectives,talent,75.0,74.0,36,
Australia,AU,talent_second_job,Talent taking on or looking for a second job,talent,78.0,40.0,36,
Australia,AU,talent_strong_manager_relationship,Talent say they have a strong relationship with their manager,talent,78.0,72.0,36,
Australia,AU,talent_trust_colleagues,Talent trust their colleagues,talent,82.0,76.0,36,
Australia,AU,talent_trust_leadership,Talent trust the leadership of their company,talent,76.0,72.0,36,
Australia,AU,talent_want_linear_career,"Talent want to follow a traditional, linear career path",talent,33.0,41.0,36,
Australia,AU,talent_want_portfolio_career,Talent want to have a portfolio career (switching sectors and jobs),talent,34.0,38.0,36,
Australia,AU,talent_wlb_attracts,"Work-life balance attracts talent (primary attraction driver, NL/LU/TR only)",talent,,78.0,36,not in RM — pay is primary attraction driver for this country
Australia,AU,talent_wlb_main_retention_reason,Work-life balance is main reason for staying in current role,talent,50.0,46.0,36,
Austria,AT,employer_ai_high_proportion_tasks,Employers estimate AI will impact high proportion of tasks (50-100%),employer,60.0,68.0,37,
Austria,AT,employer_ai_improves_productivity,Employers feel AI helps improve productivity,employer,50.0,54.0,37,
Austria,AT,employer_autonomy_engagement,"Employers agree greater autonomy leads to higher engagement, productivity and retention",employer,70.0,72.0,37,
